nombre,ruta_completa,ruta_relativa,directorio_padre,tipo,extension,mime_type,tamano,fecha_modificacion,fecha_creacion,permisos,profundidad,categoria,dimension
contrata_Diciembre_2022.csv,streamlit_app\Institucional\web scrapping\personal utem\2022\Diciembre\contrata\contrata_Diciembre_2022.csv,Institucional\web scrapping\personal utem\2022\Diciembre\contrata\contrata_Diciembre_2022.csv,Institucional\web scrapping\personal utem\2022\Diciembre\contrata,Archivo,.csv,application/vnd.ms-excel,166.61 KB,2025-02-15 23:24:01,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
planta,streamlit_app\Institucional\web scrapping\personal utem\2022\Diciembre\planta,Institucional\web scrapping\personal utem\2022\Diciembre\planta,Institucional\web scrapping\personal utem\2022\Diciembre,Directorio,,,29.22 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
planta_Diciembre_2022.csv,streamlit_app\Institucional\web scrapping\personal utem\2022\Diciembre\planta\planta_Diciembre_2022.csv,Institucional\web scrapping\personal utem\2022\Diciembre\planta\planta_Diciembre_2022.csv,Institucional\web scrapping\personal utem\2022\Diciembre\planta,Archivo,.csv,application/vnd.ms-excel,29.22 KB,2025-02-15 23:23:53,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
Enero,streamlit_app\Institucional\web scrapping\personal utem\2022\Enero,Institucional\web scrapping\personal utem\2022\Enero,Institucional\web scrapping\personal utem\2022,Directorio,,,187.41 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,4,Institucional,Tecnologías de la Información
contrata,streamlit_app\Institucional\web scrapping\personal utem\2022\Enero\contrata,Institucional\web scrapping\personal utem\2022\Enero\contrata,Institucional\web scrapping\personal utem\2022\Enero,Directorio,,,154.80 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
contrata_Enero_2022.csv,streamlit_app\Institucional\web scrapping\personal utem\2022\Enero\contrata\contrata_Enero_2022.csv,Institucional\web scrapping\personal utem\2022\Enero\contrata\contrata_Enero_2022.csv,Institucional\web scrapping\personal utem\2022\Enero\contrata,Archivo,.csv,application/vnd.ms-excel,154.80 KB,2025-02-15 23:21:09,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
planta,streamlit_app\Institucional\web scrapping\personal utem\2022\Enero\planta,Institucional\web scrapping\personal utem\2022\Enero\planta,Institucional\web scrapping\personal utem\2022\Enero,Directorio,,,32.61 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
planta_Enero_2022.csv,streamlit_app\Institucional\web scrapping\personal utem\2022\Enero\planta\planta_Enero_2022.csv,Institucional\web scrapping\personal utem\2022\Enero\planta\planta_Enero_2022.csv,Institucional\web scrapping\personal utem\2022\Enero\planta,Archivo,.csv,application/vnd.ms-excel,32.61 KB,2025-02-15 23:20:51,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
Febrero,streamlit_app\Institucional\web scrapping\personal utem\2022\Febrero,Institucional\web scrapping\personal utem\2022\Febrero,Institucional\web scrapping\personal utem\2022,Directorio,,,171.83 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,4,Institucional,Tecnologías de la Información
contrata,streamlit_app\Institucional\web scrapping\personal utem\2022\Febrero\contrata,Institucional\web scrapping\personal utem\2022\Febrero\contrata,Institucional\web scrapping\personal utem\2022\Febrero,Directorio,,,140.76 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
contrata_Febrero_2022.csv,streamlit_app\Institucional\web scrapping\personal utem\2022\Febrero\contrata\contrata_Febrero_2022.csv,Institucional\web scrapping\personal utem\2022\Febrero\contrata\contrata_Febrero_2022.csv,Institucional\web scrapping\personal utem\2022\Febrero\contrata,Archivo,.csv,application/vnd.ms-excel,140.76 KB,2025-02-15 23:21:28,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
planta,streamlit_app\Institucional\web scrapping\personal utem\2022\Febrero\planta,Institucional\web scrapping\personal utem\2022\Febrero\planta,Institucional\web scrapping\personal utem\2022\Febrero,Directorio,,,31.07 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
planta_Febrero_2022.csv,streamlit_app\Institucional\web scrapping\personal utem\2022\Febrero\planta\planta_Febrero_2022.csv,Institucional\web scrapping\personal utem\2022\Febrero\planta\planta_Febrero_2022.csv,Institucional\web scrapping\personal utem\2022\Febrero\planta,Archivo,.csv,application/vnd.ms-excel,31.07 KB,2025-02-15 23:21:11,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
Julio,streamlit_app\Institucional\web scrapping\personal utem\2022\Julio,Institucional\web scrapping\personal utem\2022\Julio,Institucional\web scrapping\personal utem\2022,Directorio,,,177.49 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,4,Institucional,Tecnologías de la Información
contrata,streamlit_app\Institucional\web scrapping\personal utem\2022\Julio\contrata,Institucional\web scrapping\personal utem\2022\Julio\contrata,Institucional\web scrapping\personal utem\2022\Julio,Directorio,,,147.36 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
contrata_Julio_2022.csv,streamlit_app\Institucional\web scrapping\personal utem\2022\Julio\contrata\contrata_Julio_2022.csv,Institucional\web scrapping\personal utem\2022\Julio\contrata\contrata_Julio_2022.csv,Institucional\web scrapping\personal utem\2022\Julio\contrata,Archivo,.csv,application/vnd.ms-excel,147.36 KB,2025-02-15 23:22:55,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
planta,streamlit_app\Institucional\web scrapping\personal utem\2022\Julio\planta,Institucional\web scrapping\personal utem\2022\Julio\planta,Institucional\web scrapping\personal utem\2022\Julio,Directorio,,,30.13 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
planta_Julio_2022.csv,streamlit_app\Institucional\web scrapping\personal utem\2022\Julio\planta\planta_Julio_2022.csv,Institucional\web scrapping\personal utem\2022\Julio\planta\planta_Julio_2022.csv,Institucional\web scrapping\personal utem\2022\Julio\planta,Archivo,.csv,application/vnd.ms-excel,30.13 KB,2025-02-15 23:22:44,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
Junio,streamlit_app\Institucional\web scrapping\personal utem\2022\Junio,Institucional\web scrapping\personal utem\2022\Junio,Institucional\web scrapping\personal utem\2022,Directorio,,,180.32 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,4,Institucional,Tecnologías de la Información
contrata,streamlit_app\Institucional\web scrapping\personal utem\2022\Junio\contrata,Institucional\web scrapping\personal utem\2022\Junio\contrata,Institucional\web scrapping\personal utem\2022\Junio,Directorio,,,149.57 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
contrata_Junio_2022.csv,streamlit_app\Institucional\web scrapping\personal utem\2022\Junio\contrata\contrata_Junio_2022.csv,Institucional\web scrapping\personal utem\2022\Junio\contrata\contrata_Junio_2022.csv,Institucional\web scrapping\personal utem\2022\Junio\contrata,Archivo,.csv,application/vnd.ms-excel,149.57 KB,2025-02-15 23:22:41,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
planta,streamlit_app\Institucional\web scrapping\personal utem\2022\Junio\planta,Institucional\web scrapping\personal utem\2022\Junio\planta,Institucional\web scrapping\personal utem\2022\Junio,Directorio,,,30.75 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
planta_Junio_2022.csv,streamlit_app\Institucional\web scrapping\personal utem\2022\Junio\planta\planta_Junio_2022.csv,Institucional\web scrapping\personal utem\2022\Junio\planta\planta_Junio_2022.csv,Institucional\web scrapping\personal utem\2022\Junio\planta,Archivo,.csv,application/vnd.ms-excel,30.75 KB,2025-02-15 23:22:28,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
Marzo,streamlit_app\Institucional\web scrapping\personal utem\2022\Marzo,Institucional\web scrapping\personal utem\2022\Marzo,Institucional\web scrapping\personal utem\2022,Directorio,,,181.07 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,4,Institucional,Tecnologías de la Información
contrata,streamlit_app\Institucional\web scrapping\personal utem\2022\Marzo\contrata,Institucional\web scrapping\personal utem\2022\Marzo\contrata,Institucional\web scrapping\personal utem\2022\Marzo,Directorio,,,147.97 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
contrata_Marzo_2022.csv,streamlit_app\Institucional\web scrapping\personal utem\2022\Marzo\contrata\contrata_Marzo_2022.csv,Institucional\web scrapping\personal utem\2022\Marzo\contrata\contrata_Marzo_2022.csv,Institucional\web scrapping\personal utem\2022\Marzo\contrata,Archivo,.csv,application/vnd.ms-excel,147.97 KB,2025-02-15 23:21:48,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
planta,streamlit_app\Institucional\web scrapping\personal utem\2022\Marzo\planta,Institucional\web scrapping\personal utem\2022\Marzo\planta,Institucional\web scrapping\personal utem\2022\Marzo,Directorio,,,33.11 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
planta_Marzo_2022.csv,streamlit_app\Institucional\web scrapping\personal utem\2022\Marzo\planta\planta_Marzo_2022.csv,Institucional\web scrapping\personal utem\2022\Marzo\planta\planta_Marzo_2022.csv,Institucional\web scrapping\personal utem\2022\Marzo\planta,Archivo,.csv,application/vnd.ms-excel,33.11 KB,2025-02-15 23:21:33,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
Mayo,streamlit_app\Institucional\web scrapping\personal utem\2022\Mayo,Institucional\web scrapping\personal utem\2022\Mayo,Institucional\web scrapping\personal utem\2022,Directorio,,,177.56 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,4,Institucional,Tecnologías de la Información
contrata,streamlit_app\Institucional\web scrapping\personal utem\2022\Mayo\contrata,Institucional\web scrapping\personal utem\2022\Mayo\contrata,Institucional\web scrapping\personal utem\2022\Mayo,Directorio,,,147.09 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
contrata_Mayo_2022.csv,streamlit_app\Institucional\web scrapping\personal utem\2022\Mayo\contrata\contrata_Mayo_2022.csv,Institucional\web scrapping\personal utem\2022\Mayo\contrata\contrata_Mayo_2022.csv,Institucional\web scrapping\personal utem\2022\Mayo\contrata,Archivo,.csv,application/vnd.ms-excel,147.09 KB,2025-02-15 23:22:25,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
planta,streamlit_app\Institucional\web scrapping\personal utem\2022\Mayo\planta,Institucional\web scrapping\personal utem\2022\Mayo\planta,Institucional\web scrapping\personal utem\2022\Mayo,Directorio,,,30.47 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
planta_Mayo_2022.csv,streamlit_app\Institucional\web scrapping\personal utem\2022\Mayo\planta\planta_Mayo_2022.csv,Institucional\web scrapping\personal utem\2022\Mayo\planta\planta_Mayo_2022.csv,Institucional\web scrapping\personal utem\2022\Mayo\planta,Archivo,.csv,application/vnd.ms-excel,30.47 KB,2025-02-15 23:22:10,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
Noviembre,streamlit_app\Institucional\web scrapping\personal utem\2022\Noviembre,Institucional\web scrapping\personal utem\2022\Noviembre,Institucional\web scrapping\personal utem\2022,Directorio,,,180.92 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,4,Institucional,Tecnologías de la Información
contrata,streamlit_app\Institucional\web scrapping\personal utem\2022\Noviembre\contrata,Institucional\web scrapping\personal utem\2022\Noviembre\contrata,Institucional\web scrapping\personal utem\2022\Noviembre,Directorio,,,151.02 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
contrata_Noviembre_2022.csv,streamlit_app\Institucional\web scrapping\personal utem\2022\Noviembre\contrata\contrata_Noviembre_2022.csv,Institucional\web scrapping\personal utem\2022\Noviembre\contrata\contrata_Noviembre_2022.csv,Institucional\web scrapping\personal utem\2022\Noviembre\contrata,Archivo,.csv,application/vnd.ms-excel,151.02 KB,2025-02-15 23:23:52,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
planta,streamlit_app\Institucional\web scrapping\personal utem\2022\Noviembre\planta,Institucional\web scrapping\personal utem\2022\Noviembre\planta,Institucional\web scrapping\personal utem\2022\Noviembre,Directorio,,,29.90 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
planta_Noviembre_2022.csv,streamlit_app\Institucional\web scrapping\personal utem\2022\Noviembre\planta\planta_Noviembre_2022.csv,Institucional\web scrapping\personal utem\2022\Noviembre\planta\planta_Noviembre_2022.csv,Institucional\web scrapping\personal utem\2022\Noviembre\planta,Archivo,.csv,application/vnd.ms-excel,29.90 KB,2025-02-15 23:23:44,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
Octubre,streamlit_app\Institucional\web scrapping\personal utem\2022\Octubre,Institucional\web scrapping\personal utem\2022\Octubre,Institucional\web scrapping\personal utem\2022,Directorio,,,180.92 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,4,Institucional,Tecnologías de la Información
contrata,streamlit_app\Institucional\web scrapping\personal utem\2022\Octubre\contrata,Institucional\web scrapping\personal utem\2022\Octubre\contrata,Institucional\web scrapping\personal utem\2022\Octubre,Directorio,,,151.11 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
contrata_Octubre_2022.csv,streamlit_app\Institucional\web scrapping\personal utem\2022\Octubre\contrata\contrata_Octubre_2022.csv,Institucional\web scrapping\personal utem\2022\Octubre\contrata\contrata_Octubre_2022.csv,Institucional\web scrapping\personal utem\2022\Octubre\contrata,Archivo,.csv,application/vnd.ms-excel,151.11 KB,2025-02-15 23:23:41,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
planta,streamlit_app\Institucional\web scrapping\personal utem\2022\Octubre\planta,Institucional\web scrapping\personal utem\2022\Octubre\planta,Institucional\web scrapping\personal utem\2022\Octubre,Directorio,,,29.81 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
planta_Octubre_2022.csv,streamlit_app\Institucional\web scrapping\personal utem\2022\Octubre\planta\planta_Octubre_2022.csv,Institucional\web scrapping\personal utem\2022\Octubre\planta\planta_Octubre_2022.csv,Institucional\web scrapping\personal utem\2022\Octubre\planta,Archivo,.csv,application/vnd.ms-excel,29.81 KB,2025-02-15 23:23:34,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
Septiembre,streamlit_app\Institucional\web scrapping\personal utem\2022\Septiembre,Institucional\web scrapping\personal utem\2022\Septiembre,Institucional\web scrapping\personal utem\2022,Directorio,,,180.03 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,4,Institucional,Tecnologías de la Información
contrata,streamlit_app\Institucional\web scrapping\personal utem\2022\Septiembre\contrata,Institucional\web scrapping\personal utem\2022\Septiembre\contrata,Institucional\web scrapping\personal utem\2022\Septiembre,Directorio,,,150.28 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
contrata_Septiembre_2022.csv,streamlit_app\Institucional\web scrapping\personal utem\2022\Septiembre\contrata\contrata_Septiembre_2022.csv,Institucional\web scrapping\personal utem\2022\Septiembre\contrata\contrata_Septiembre_2022.csv,Institucional\web scrapping\personal utem\2022\Septiembre\contrata,Archivo,.csv,application/vnd.ms-excel,150.28 KB,2025-02-15 23:23:31,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
planta,streamlit_app\Institucional\web scrapping\personal utem\2022\Septiembre\planta,Institucional\web scrapping\personal utem\2022\Septiembre\planta,Institucional\web scrapping\personal utem\2022\Septiembre,Directorio,,,29.75 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
planta_Septiembre_2022.csv,streamlit_app\Institucional\web scrapping\personal utem\2022\Septiembre\planta\planta_Septiembre_2022.csv,Institucional\web scrapping\personal utem\2022\Septiembre\planta\planta_Septiembre_2022.csv,Institucional\web scrapping\personal utem\2022\Septiembre\planta,Archivo,.csv,application/vnd.ms-excel,29.75 KB,2025-02-15 23:23:18,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
2023,streamlit_app\Institucional\web scrapping\personal utem\2023,Institucional\web scrapping\personal utem\2023,Institucional\web scrapping\personal utem,Directorio,,,2.46 MB,2025-03-06 17:24:53,2025-03-06 17:24:52,777,3,Institucional,Tecnologías de la Información
Abril,streamlit_app\Institucional\web scrapping\personal utem\2023\Abril,Institucional\web scrapping\personal utem\2023\Abril,Institucional\web scrapping\personal utem\2023,Directorio,,,201.02 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,4,Institucional,Tecnologías de la Información
contrata,streamlit_app\Institucional\web scrapping\personal utem\2023\Abril\contrata,Institucional\web scrapping\personal utem\2023\Abril\contrata,Institucional\web scrapping\personal utem\2023\Abril,Directorio,,,171.03 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
contrata_Abril_2023.csv,streamlit_app\Institucional\web scrapping\personal utem\2023\Abril\contrata\contrata_Abril_2023.csv,Institucional\web scrapping\personal utem\2023\Abril\contrata\contrata_Abril_2023.csv,Institucional\web scrapping\personal utem\2023\Abril\contrata,Archivo,.csv,application/vnd.ms-excel,171.03 KB,2025-02-15 23:25:08,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
planta,streamlit_app\Institucional\web scrapping\personal utem\2023\Abril\planta,Institucional\web scrapping\personal utem\2023\Abril\planta,Institucional\web scrapping\personal utem\2023\Abril,Directorio,,,29.99 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
planta_Abril_2023.csv,streamlit_app\Institucional\web scrapping\personal utem\2023\Abril\planta\planta_Abril_2023.csv,Institucional\web scrapping\personal utem\2023\Abril\planta\planta_Abril_2023.csv,Institucional\web scrapping\personal utem\2023\Abril\planta,Archivo,.csv,application/vnd.ms-excel,29.99 KB,2025-02-15 23:24:59,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
Agosto,streamlit_app\Institucional\web scrapping\personal utem\2023\Agosto,Institucional\web scrapping\personal utem\2023\Agosto,Institucional\web scrapping\personal utem\2023,Directorio,,,203.03 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,4,Institucional,Tecnologías de la Información
contrata,streamlit_app\Institucional\web scrapping\personal utem\2023\Agosto\contrata,Institucional\web scrapping\personal utem\2023\Agosto\contrata,Institucional\web scrapping\personal utem\2023\Agosto,Directorio,,,175.97 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
contrata_Agosto_2023.csv,streamlit_app\Institucional\web scrapping\personal utem\2023\Agosto\contrata\contrata_Agosto_2023.csv,Institucional\web scrapping\personal utem\2023\Agosto\contrata\contrata_Agosto_2023.csv,Institucional\web scrapping\personal utem\2023\Agosto\contrata,Archivo,.csv,application/vnd.ms-excel,175.97 KB,2025-02-15 23:25:49,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
planta,streamlit_app\Institucional\web scrapping\personal utem\2023\Agosto\planta,Institucional\web scrapping\personal utem\2023\Agosto\planta,Institucional\web scrapping\personal utem\2023\Agosto,Directorio,,,27.06 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
planta_Agosto_2023.csv,streamlit_app\Institucional\web scrapping\personal utem\2023\Agosto\planta\planta_Agosto_2023.csv,Institucional\web scrapping\personal utem\2023\Agosto\planta\planta_Agosto_2023.csv,Institucional\web scrapping\personal utem\2023\Agosto\planta,Archivo,.csv,application/vnd.ms-excel,27.06 KB,2025-02-15 23:25:40,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
Diciembre,streamlit_app\Institucional\web scrapping\personal utem\2023\Diciembre,Institucional\web scrapping\personal utem\2023\Diciembre,Institucional\web scrapping\personal utem\2023,Directorio,,,286.73 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,4,Institucional,Tecnologías de la Información
contrata,streamlit_app\Institucional\web scrapping\personal utem\2023\Diciembre\contrata,Institucional\web scrapping\personal utem\2023\Diciembre\contrata,Institucional\web scrapping\personal utem\2023\Diciembre,Directorio,,,248.67 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
contrata_Diciembre_2023.csv,streamlit_app\Institucional\web scrapping\personal utem\2023\Diciembre\contrata\contrata_Diciembre_2023.csv,Institucional\web scrapping\personal utem\2023\Diciembre\contrata\contrata_Diciembre_2023.csv,Institucional\web scrapping\personal utem\2023\Diciembre\contrata,Archivo,.csv,application/vnd.ms-excel,248.67 KB,2025-02-15 23:26:52,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
planta,streamlit_app\Institucional\web scrapping\personal utem\2023\Diciembre\planta,Institucional\web scrapping\personal utem\2023\Diciembre\planta,Institucional\web scrapping\personal utem\2023\Diciembre,Directorio,,,38.06 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
planta_Diciembre_2023.csv,streamlit_app\Institucional\web scrapping\personal utem\2023\Diciembre\planta\planta_Diciembre_2023.csv,Institucional\web scrapping\personal utem\2023\Diciembre\planta\planta_Diciembre_2023.csv,Institucional\web scrapping\personal utem\2023\Diciembre\planta,Archivo,.csv,application/vnd.ms-excel,38.06 KB,2025-02-15 23:26:28,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
Enero,streamlit_app\Institucional\web scrapping\personal utem\2023\Enero,Institucional\web scrapping\personal utem\2023\Enero,Institucional\web scrapping\personal utem\2023,Directorio,,,203.27 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,4,Institucional,Tecnologías de la Información
contrata,streamlit_app\Institucional\web scrapping\personal utem\2023\Enero\contrata,Institucional\web scrapping\personal utem\2023\Enero\contrata,Institucional\web scrapping\personal utem\2023\Enero,Directorio,,,173.19 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
contrata_Enero_2023.csv,streamlit_app\Institucional\web scrapping\personal utem\2023\Enero\contrata\contrata_Enero_2023.csv,Institucional\web scrapping\personal utem\2023\Enero\contrata\contrata_Enero_2023.csv,Institucional\web scrapping\personal utem\2023\Enero\contrata,Archivo,.csv,application/vnd.ms-excel,173.19 KB,2025-02-15 23:24:28,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
planta,streamlit_app\Institucional\web scrapping\personal utem\2023\Enero\planta,Institucional\web scrapping\personal utem\2023\Enero\planta,Institucional\web scrapping\personal utem\2023\Enero,Directorio,,,30.08 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
planta_Enero_2023.csv,streamlit_app\Institucional\web scrapping\personal utem\2023\Enero\planta\planta_Enero_2023.csv,Institucional\web scrapping\personal utem\2023\Enero\planta\planta_Enero_2023.csv,Institucional\web scrapping\personal utem\2023\Enero\planta,Archivo,.csv,application/vnd.ms-excel,30.08 KB,2025-02-15 23:24:07,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
Febrero,streamlit_app\Institucional\web scrapping\personal utem\2023\Febrero,Institucional\web scrapping\personal utem\2023\Febrero,Institucional\web scrapping\personal utem\2023,Directorio,,,187.99 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,4,Institucional,Tecnologías de la Información
contrata,streamlit_app\Institucional\web scrapping\personal utem\2023\Febrero\contrata,Institucional\web scrapping\personal utem\2023\Febrero\contrata,Institucional\web scrapping\personal utem\2023\Febrero,Directorio,,,159.35 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
contrata_Febrero_2023.csv,streamlit_app\Institucional\web scrapping\personal utem\2023\Febrero\contrata\contrata_Febrero_2023.csv,Institucional\web scrapping\personal utem\2023\Febrero\contrata\contrata_Febrero_2023.csv,Institucional\web scrapping\personal utem\2023\Febrero\contrata,Archivo,.csv,application/vnd.ms-excel,159.35 KB,2025-02-15 23:24:47,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
planta,streamlit_app\Institucional\web scrapping\personal utem\2023\Febrero\planta,Institucional\web scrapping\personal utem\2023\Febrero\planta,Institucional\web scrapping\personal utem\2023\Febrero,Directorio,,,28.64 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
planta_Febrero_2023.csv,streamlit_app\Institucional\web scrapping\personal utem\2023\Febrero\planta\planta_Febrero_2023.csv,Institucional\web scrapping\personal utem\2023\Febrero\planta\planta_Febrero_2023.csv,Institucional\web scrapping\personal utem\2023\Febrero\planta,Archivo,.csv,application/vnd.ms-excel,28.64 KB,2025-02-15 23:24:31,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
Julio,streamlit_app\Institucional\web scrapping\personal utem\2023\Julio,Institucional\web scrapping\personal utem\2023\Julio,Institucional\web scrapping\personal utem\2023,Directorio,,,201.11 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,4,Institucional,Tecnologías de la Información
contrata,streamlit_app\Institucional\web scrapping\personal utem\2023\Julio\contrata,Institucional\web scrapping\personal utem\2023\Julio\contrata,Institucional\web scrapping\personal utem\2023\Julio,Directorio,,,173.79 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
contrata_Julio_2023.csv,streamlit_app\Institucional\web scrapping\personal utem\2023\Julio\contrata\contrata_Julio_2023.csv,Institucional\web scrapping\personal utem\2023\Julio\contrata\contrata_Julio_2023.csv,Institucional\web scrapping\personal utem\2023\Julio\contrata,Archivo,.csv,application/vnd.ms-excel,173.79 KB,2025-02-15 23:25:39,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
planta,streamlit_app\Institucional\web scrapping\personal utem\2023\Julio\planta,Institucional\web scrapping\personal utem\2023\Julio\planta,Institucional\web scrapping\personal utem\2023\Julio,Directorio,,,27.32 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
planta_Julio_2023.csv,streamlit_app\Institucional\web scrapping\personal utem\2023\Julio\planta\planta_Julio_2023.csv,Institucional\web scrapping\personal utem\2023\Julio\planta\planta_Julio_2023.csv,Institucional\web scrapping\personal utem\2023\Julio\planta,Archivo,.csv,application/vnd.ms-excel,27.32 KB,2025-02-15 23:25:30,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
Junio,streamlit_app\Institucional\web scrapping\personal utem\2023\Junio,Institucional\web scrapping\personal utem\2023\Junio,Institucional\web scrapping\personal utem\2023,Directorio,,,201.47 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,4,Institucional,Tecnologías de la Información
contrata,streamlit_app\Institucional\web scrapping\personal utem\2023\Junio\contrata,Institucional\web scrapping\personal utem\2023\Junio\contrata,Institucional\web scrapping\personal utem\2023\Junio,Directorio,,,173.81 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,5,Institucional,Tecnologías de la Información
contrata_Junio_2023.csv,streamlit_app\Institucional\web scrapping\personal utem\2023\Junio\contrata\contrata_Junio_2023.csv,Institucional\web scrapping\personal utem\2023\Junio\contrata\contrata_Junio_2023.csv,Institucional\web scrapping\personal utem\2023\Junio\contrata,Archivo,.csv,application/vnd.ms-excel,173.81 KB,2025-02-15 23:25:28,2025-03-06 17:24:53,666,6,Institucional,Tecnologías de la Información
